rooms, area, floor, year, bathrooms, kitchens, link, zone, price
1, 37, 1, 2021, 1, 1, https://www.titirez.ro/vanzari-garsoniere/iasi/pacurari/garsoniera-de-vanzare-dhd-imobiliare-170pa, Zona Pacurari, 38
2, 52, 5, 2020, 1, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/cug/apartament-de-inchiriat-2-camere-dhd-imobiliare-16wcq, Zona CUG, 250
2, 53, 5, 2019, 1, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/baza-3/apartament-de-inchiriat-2-camere-dhd-imobiliare-16vrc, Zona Baza , 250
2, 52, 5, 2020, 1, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/cug/apartament-de-inchiriat-2-camere-dhd-imobiliare-16vr2, Zona CUG, 250
2, 60, 3, 1970, 1, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/copou/apartament-de-inchiriat-2-camere-expert-casa-imobiliare-16xve, Zona Copou, 380
2, 40, 7, 2015, 1, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/moara-de-foc/apartament-de-inchiriat-2-camere-expert-casa-imobiliare-16lq1, Zona Moara De Foc, 350
2, 50, 2, 2013, 1, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/uzinei/apartament-de-inchiriat-2-camere-expert-casa-imobiliare-16ir5, Zona Uzinei, 370
1, 16, 0, 1980, 1, 0, https://www.titirez.ro/inchirieri-garsoniere/iasi/tesatura/garsoniera-de-inchiriat-expert-casa-imobiliare-16iqo, Zona Tesatura, 250
2, 45, 2, 2017, 1, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/palas/apartament-de-inchiriat-2-camere-expert-casa-imobiliare-16ii6, Zona Palas, 350
3, 90, 2, 1980, 2, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/zona-centrala/apartament-de-inchiriat-3-camere-expert-casa-imobiliare-16az2, Zona Zona Centrala, 420
2, 65, 2, 2015, 1, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/zona-centrala/apartament-de-inchiriat-2-camere-expert-casa-imobiliare-168g0, Zona Zona Centrala, 400
3, 90, 3, 1980, 1, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/zona-centrala/apartament-de-inchiriat-3-camere-expert-casa-imobiliare-167xc, Zona Zona Centrala, 400
